abcaso, Abcasia
abcasa, Abcasia
afghano, Afghanistan
afghana, Afghanistan
afgano, Afghanistan
afgana, Afghanistan
alandese, Isole Åland
albanese, Albania
algerino, Algeria
algerina, Algeria
andorrano, Andorra
andorrana, Andorra
angolano, Angola
angolana, Angola
anguillano, Anguilla
anguillana, Anguilla
antiguo-barbudano, Antigua e Barbuda
antiguo-barbudana, Antigua e Barbuda
saudita, Arabia Saudita
arabo, Arabia Saudita
araba saudita, Arabia Saudita
argentino, Argentina
argentina, Argentina
armeno, Armenia
armena, Armenia
karabakho, Artsakh
karabakha, Artsakh
arubano, Aruba
arubana, Aruba
australiano, Australia
australiana, Australia
austriaco, Austria
austriaca, Austria
azero, Azerbaigian
azera, Azerbaigian
azerbaigiano, Azerbaigian
azerbaigiana, Azerbaigian
bahamense, Bahamas
bahreinita, Bahrein
bahrainita, Bahrein
bengalese, Bangladesh
bangladese, Bangladesh
barbadiano, Barbados
barbadiana, Barbados
barbadoregno, Barbados
barbadoregna, Barbados
belga, Belgio
beliziano, Belize
beliziana, Belize
beninese, Benin
beniniano, Benin
beniniana, Benin
bermudiano, Bermuda
bermudiana, Bermuda
bhutanese, Bhutan
bielorusso, Bielorussia
bielorussa, Bielorussia
belorusso, Bielorussia
belorussa, Bielorussia
birmano, Birmania
birmana, Birmania
boliviano, Bolivia
boliviana, Bolivia
bosniaco, Bosnia ed Erzegovina
bosniaca, Bosnia ed Erzegovina
bosniaco-erzegovino, Bosnia ed Erzegovina
bosniaco-erzegovina, Bosnia ed Erzegovina
bosniaco-erzegovese, Bosnia ed Erzegovina
botswano, Botswana
botswana, Botswana
brasiliano, Brasile
brasiliana, Brasile
bruneiano, Brunei
bruneiana, Brunei
bulgaro, Bulgaria
bulgara, Bulgaria
burkinabé, Burkina Faso
burundese, Burundi
cambogiano, Cambogia
cambogiana, Cambogia
camerunese, Camerun
canadese, Canada
capoverdiano, Capo Verde
capoverdiana, Capo Verde
caymaniano, Isole Cayman
caymaniana, Isole Cayman
ceco, Rep. Ceca
ceca, Rep. Ceca
centrafricano, Rep. Centrafricana
centrafricana, Rep. Centrafricana
ciadiano, Ciad
ciadiana, Ciad
cileno, Cile
cilena, Cile
cinese, Cina
cipriota, Cipro
colombiano, Colombia
colombiana, Colombia
comoriano, Comore
comoriana, Comore
congolese, Rep. del Congo
congolese, RD del Congo
zairese, RD del Congo
zairiano, RD del Congo
zairiana, RD del Congo
cookese, Isole Cook
nordcoreano, Corea del Nord
nordcoreana, Corea del Nord
nord-coreano, Corea del Nord
nord-coreana, Corea del Nord
sudcoreano, Corea del Sud
sudcoreana, Corea del Sud
sud-coreano, Corea del Sud
sud-coreana, Corea del Sud
ivoriano, Costa d'Avorio
ivoriana, Costa d'Avorio
avoriano, Costa d'Avorio
avoriana, Costa d'Avorio
costaricano, Costa Rica
costaricana, Costa Rica
costaricense, Costa Rica
croato, Croazia
croata, Croazia
cubano, Cuba
cubana, Cuba
danese, Danimarca
dominicense, Dominica
dominicano, Rep. Dominicana
dominicana, Rep. Dominicana
ecuadoriano, Ecuador
ecuadoriana, Ecuador
ecuadoregno, Ecuador
ecuadoregna, Ecuador
egiziano, Egitto
egiziana, Egitto
salvadoregno, El Salvador
salvadoregna, El Salvador
emiratense, Emirati Arabi Uniti
imaratense, Emirati Arabi Uniti
eritreo, Eritrea
eritrea, Eritrea
estone, Estonia
etiope, Etiopia
etiopico, Etiopia
etiopica, Etiopia
falklandese, Isole Falkland
faroense, Fær Øer
faroese, Fær Øer
feroese, Fær Øer
figiano, Figi
figiana, Figi
filippino, Filippine
filippina, Filippine
finlandese, Finlandia
francese, Francia
gabonese, Gabon
gallese, Galles
gambiano, Gambia
gambiana, Gambia
georgiano, Georgia
georgiana, Georgia
tedesco, Germania
tedesca, Germania
germanico, Germania
germanica, Germania
ghanese, Ghana
ghanaese, Ghana
ghanaense, Ghana
giamaicano, Giamaica
giamaicana, Giamaica
giapponese, Giappone
nipponico, Giappone
nipponica, Giappone
gibilterriano, Gibilterra
gibilterriana, Gibilterra
gibutiano, Gibuti
gibutiana, Gibuti
giordano, Giordania
giordana, Giordania
greco, Grecia
greca, Grecia
ellenico, Grecia
ellenica, Grecia
grenadino, Grenada
grenadina, Grenada
groenlandese, Groenlandia
guadalupense, Guadalupa
guamano, Guam
guamana, Guam
guatemalteco, Guatemala
guatemalteca, Guatemala
guineano, Guinea
guineana, Guinea
guineense, Guinea-Bissau
equatoguineano, Guinea Equatoriale
equatoguineana, Guinea Equatoriale
guyanese, Guyana
guianese, Guyana francese
haitiano, Haiti
haitiana, Haiti
honduregno, Honduras
honduregna, Honduras
onduregno, Honduras
onduregna, Honduras
hongkonghese, Hong Kong
indiano, India
indiana, India
indonesiano, Indonesia
indonesiana, Indonesia
inglese, Inghilterra
iraniano, Iran
iraniana, Iran
persiano, Iran
persiana, Iran
iracheno, Iraq
irachena, Iraq
irakeno, Iraq
irakena, Iraq
irlandese, Irlanda
nordirlandese, Irlanda del Nord
nord-irlandese, Irlanda del Nord
islandese, Islanda
israeliano, Israele
israeliana, Israele
italiano, Italia
italiana, Italia
jerseiano, Jersey
jerseiana, Jersey
kazako, Kazakistan
kazaka, Kazakistan
kazaco, Kazakistan
kazaca, Kazakistan
keniota, Kenya
kenyota, Kenya
keniano, Kenya
keniana, Kenya
kenyano, Kenya
kirghiso, Kirghizistan
kirghisa, Kirghizistan
kirghizo, Kirghizistan
kirghiza, Kirghizistan
chirghiso, Kirghizistan
chirghisa, Kirghizistan
gilbertese, Kiribati
kosovaro, Kosovo
kosovara, Kosovo
kossovaro, Kosovo
kossovara, Kosovo
kuwaitiano, Kuwait
kuwaitiana, Kuwait
laotiano, Laos
laotiana, Laos
laosiano, Laos
laosiana, Laos
lesothiano, Lesotho
lesothiana, Lesotho
sesotho, Lesotho
lettone, Lettonia
libanese, Libano
liberiano, Liberia
liberiana, Liberia
libico, Libia
libica, Libia
liechtensteinese, Liechtenstein
liechtensteiniano, Liechtenstein
liechtensteiniana, Liechtenstein
